"post_title"	"post_content"	"post_excerpt"	"post_name"	"city"	"thumbnail"	"wpcf-venue-directions-image"	"wpcf-venue_daum1"	"wpcf-venue_directions"	"wpcf-venue_email"	"wpcf-venue_facebook"	"wpcf-venue_phone"	"wpcf-venue_twitter"	"wpcf-venue_website"	"_pronamic_google_maps_address"	"_pronamic_google_maps_description"	"_pronamic_google_maps_latitude"	"_pronamic_google_maps_longitude"	"_pronamic_google_maps_title"	"_pronamic_google_maps_zoom"
"<!--:ko-->스페이스 문<!--:--><!--:en-->Space Moon<!--:-->"	"<!--:ko-->“스페이스 문” 은 문래동에 위치한 공연장입니다. 2011년 8월부터 운영되던 대안공간 문을 새로운 운영자 4명이 이어받아 2014년 1월 새로운 이름인 스페이스 문으로 다시 오픈하게 되었습니다. 주로 음악 공연을 중심으로 프로그램을 진행하나, 실험적인 이벤트, 영화 상영, 세미나, 전시 등 여러 제안들에 열려있는 공간입니다.<!--:--><!--:en-->

Founded april-may 2011 and opened officially august 2011, Space Moon is located in mullae inside an area with many kinds of artist studios and steel/metal workshops. We have concerts and events. Its a great space to meet, have fun, talk and catch a show
<!--:-->"		"space-moon"	"seoul-%ec%84%9c%ec%9a%b8:Seoul 서울"	"2013/05/SpaceMoon.jpg"				"spacemoonseoul@gmail.com"	"https://www.facebook.com/spacemoonseoul"	"010-3060-1683"	"http://twitter.com/spacemoonseoul"	"http://spacemoonseoul.wordpress.com/"	"54-41 Mullae-dong 3ga, yeongdeungpo-gu, Seoul, Korea"	"대안공간[문]"	37.5135923891	126.896719144	"대안공간[문]"	15
"<!--:en-->Club FF<!--:--><!--:ko-->클럽 FF<!--:-->"	"<!--:ko-->홍대 최고의 NO.1 Indie experience 라이브 클럽 에프에프입니다!!<!--:--><!--:en-->A top live venue with music almost every night. After the bands it becomes a rock dance club with DJs.

BEST OF HONGDAE INDIE ROCK N ROLL LIVE & DANCE CLUB<!--:-->"	"<!--:ko-->클럽 FF<!--:--><!--:en-->Club FF<!--:-->"	"club-ff"	"seoul-%ec%84%9c%ec%9a%b8:Seoul 서울"	"2013/05/FF-Logo.png"	"http://doindie.wpengine.com/wp-content/uploads/2013/05/FFMap1.jpg"		"상수역1번출구로 나와서 뒤로 돌면 홍대 방향으로 가는 대로가 있습니다. 홍대방향으로 계속 직진하다가 세븐일레븐 보이면 클럽 골목으로 들어가세요 (세븐일레븐 앞에서 왼쪽 방향). 그 골목으로 45미터(쯤) 정도 직진하면 오른쪽에 클럽 FF가 보일겁니다.

Take the subway to Sangsu station on Line 6 (exit #1) - double back on yourself keep going straight towards Hongik University. Take a left onto the street before the 7-Eleven. Walk straight along that road about 45m - you will see Club FF on your right."	"ianbrown@naver.com"	"https://www.facebook.com/groups/clubff"	"010 9025 3407"	"https://twitter.com/clubFF_"	"http://www.2005clubff.cyworld.com/"	"마포구 서교동"	"클럽 FF / Club FF"	37.5502453042	126.922298324	"클럽 FF / Club FF"	19
"<!--:en-->Evans<!--:--><!--:ko-->에반스<!--:-->"	"<!--:en-->While operating its business for more than 10 years near Hongik university area, Club EVANS has served as an
incubation site for talented jazz musicians. Under its philsophy of ""Musical Diversity over Profitability"", EVANS
provides both training and locations, including its own recording studio and jazz academy.
By focusing on this unique ideology, EVANS Label aims to create young and brilliant Korean jazz music.<!--:--><!--:ko-->EVANS는 지난 10년 동안 홍대지역에서 라이브클럽을 운영하며 한국 재즈 뮤지션들의 보금자리 역할을 해왔다.
한국의 젊고 참신한 재즈를 지향하는 EVANS는 실력있는 재즈뮤지션들의 다양한 창작활동을 위해 레코딩 스튜디오와 재즈 아카데미를 함께 운영하고 있다. 한국에서 자생적으로 자라날 수 있는 뮤지션들의 음악적 토양 역할이 되는 것이 EVANS의 목표이다.<!--:-->"	"<!--:ko-->에반스<!--:--><!--:en-->Evans<!--:-->"	"evans"	"seoul-%ec%84%9c%ec%9a%b8:Seoul 서울"	"2013/05/Evans-Logo.jpg"	"http://doindie.wpengine.com/wp-content/uploads/2013/05/Evans-Map1.png"	"http://blog.naver.com/evanslabel"	"6호선 상수역 1번 출구 - 홍대방면으로 150M - 좌측 세븐일레븐 건물 2층

2호선 홍대입구역 5번 출구 - 홍대 정문 앞을 바라보고 오른쪽 극동방송국 방향으로 100m직진 후 건너편

Take exit 1 of Sangsu station (Line 6) and head towards Hongdae University (you need to double back on yourself as soon as you leave Exit 1). When you see 7Eleven on your left, Evans is in that same building on the second floor.

&nbsp;

&nbsp;"	"reouomo@hotmail.com"	"https://www.facebook.com/clubevans"	"02-337-8361"	"https://twitter.com/evans_label"	"http://clubevans.com/"	"2F, 407-3, Seokyo-dong, Mapo-gu, Seoul, Korea 121-895"	"에반스 / Evans"	37.5502329	126.922865	"에반스 / Evans"	19
"<!--:en-->Auteur<!--:--><!--:ko-->오뙤르<!--:-->"	"<!--:en-->Rock,Pop,Jazz,Folk,Classic,NewAge,Traditional,WorldMusic,Crossover etc.<!--:--><!--:ko-->_AUTEUR? 오뙤르?
Auteur는 독창적인 영화감독을 뜻하는 단어입니다.
club AUTEUR는 예술가의 독창적인 창작활동을 지향하는 공간입니다.
뮤지션을 비롯한 예술가들의 퍼포먼스가 관객과 함께 완성되는
gig, showcase, party 등이 일상적으로 열리게 되는 문화공간을 지향합니다.

관객과 예술가 사이의 경계가 없는 아늑한 공간에서 이루어지는 퍼포먼스는
rock, pop, folk, classic, jazz, traditional, world music, crossover 등
쟝르의 벽이 없이 언플러그드와 어쿠스틱함의 느낌을 담아 좀 더 편안하고 가까움을 연출합니다.<!--:-->"	"<!--:ko-->오뙤르<!--:--><!--:en-->Auteur<!--:-->"	"auteur"	"seoul-%ec%84%9c%ec%9a%b8:Seoul 서울"	"2013/05/Auteur-Logo.jpg"	"http://doindie.staging.wpengine.com/wp-content/uploads/2013/05/Auteur-Map5.jpg"	"http://cafe.naver.com/clubauteur"	"상수역(1번출구)에서 오시는 것이 가장 빠릅니다.
합정역(3번출구)과 홍대입구역(9번출구)에서도 멀지 않습니다.
주차장골목에 있는 상상마당 또는 럭셔리 수 노래방을 찾으시면 바로 곁에
'作家' (작가)라는 빌딩이 있습니다.

Leave Sangsu station (Line 6) via exit 1. It is right next to Sang Sang Madang in the middle of Hongdae.

&nbsp;"	"Auteurclub@gmail.com"	"https://www.facebook.com/clubAUTEUR"	"010-3449-6264"	"https://twitter.com/clubAUTEUR"		"마포구 서교동 367-36 作家(작가)빌딩 B1F, Seoul, Korea"	"오뙤르 / Auteur"	37.5513737947	126.921128424	"오뙤르 / Auteur"	19
"<!--:en-->man is a prison , also prison!<!--:--><!--:ko-->사나이라면 감옥, 역시 감옥이지!<!--:-->"	"<!--:en--><!--:--><!--:ko-->서울 영등포구 문래동 3가  54-41<!--:-->"		"%ec%82%ac%eb%82%98%ec%9d%b4%eb%9d%bc%eb%a9%b4-%ea%b0%90%ec%98%a5-%ec%97%ad%ec%8b%9c-%ea%b0%90%ec%98%a5%ec%9d%b4%ec%a7%80"		"2014/01/jpg21.jpg"					"http://"				"서울 영등포구 문래동3가 54-41"		37.5137003	126.8965075		
"<!--:en-->asdasD<!--:--><!--:ko-->sdsdsdad<!--:-->"	"<!--:en-->ASDASd<!--:--><!--:ko-->asDasd<!--:-->"		"sdsdsdad"							"http://"				"sdSDf"		36.1542048	-95.9457815		
"<!--:en-->Geek Live House<!--:--><!--:ko-->긱 (GEEK) 라이브하우스<!--:-->"	"<!--:en--><!--:--><!--:ko-->11년 전통의 신촌 대표 공연장으로써, '긱 라이브 하우스는' 대한민국의 음악 문화와 그 맥을 같이 하며 함께 호흡해 왔습니다.

프로뮤지션과 엔지니어가 협심하여 만든 공연장이니 만큼, 170석 가량의 소규모 공연장이지만 전문적인 셋팅의 음향과 LED 무빙 등의 화려한 조명, 여러 제반시설에서 언제나 뮤지션을 생각하고 함께 고민하고 있습니다.

아마츄어부터 프로까지, 밴드 음악과 어코스틱, 힙합 등  모든 장르의 각종 대관공연과 기획공연을 다양하고 꾸준하게 해 온 '긱라이브하우스'는,  대관 공연을 하시는 분들께는 녹화 영상과 함께 화려한 평생의 추억을,  프로 뮤지션들께는 양질의 공연으로 멋진 음악 생활의 한 페이지가 당당히 되기를, 마지막으로 공연을 보러 오시는 분들께는 쾌적하고 즐거운 환경으로, 그저 단순한 '관람' 이 아닌, 하나의 '공감' 과 '호흡'을 함께 느끼시기를 희망합니다.

무대위의 공연자와 관객, 공연장 모두가 더욱 빛날 내일을 그리며 대한민국 공연과 음악문화의 한 축을 꿋꿋이 자리매김해 나가며 진솔하고 감성이 닿아있는 문화 공간으로 건강한 에너지가 꿈틀대는 라이브 클럽 '긱 라이브 하우스'는 음악과 함께 하는 여러 분들을 늘 웃으며 기다립니다.

- 긱 라이브 하우스의 모든 마음 일동 올림 –  <!--:-->"		"geek-livehouse"		"2013/12/GeekLiveHouse.jpg"	"http://doindie.staging.wpengine.com/wp-content/uploads/geek약도.jpg"	"http://blog.naver.com/geeklive"	"2호선 신촌 지하철역 8번 출구로 나오셔서, 나오신 방향으로 쭉 걸어 올라오시면 왼편으로 농협과 신한은행을 지나치실 겁니다. 그 상태로 더 올라오시면 '오스람 조명' 이 왼편에 있습니다 (맞은 편에 신촌 장로교회가 크게 보이실 겁니다).

'오스람 조명' 을 끼고 왼편 골목 안쪽으로 들어오시면 바로 GEEK live house 의 간판을 보실 수 있습니다 ^^

즉, 2호선 신촌역 8번출구에서 쭈욱 올라와서 오스람 조명에서 좌회전! 쉽죠? ^^

Come out of exit 8 at Sinchon Station (Line 2) and walk straight. Walk past the Nonghyup and Shinhan banks that you will see on your left hand side.  Keep walking straight and you will see Osram Lighting (오스람 조명) on your left (directly opposite will be the big Sincheon Church). Go up the side road to the left of Osram Lighting and you will see the sign for Geek Live House."	"geeklive@naver.com"	"https://www.facebook.com/geeklivehouse"	"02-3141-5292"		"http://www.geeklivehouse.co.kr"	"서울시 마포구 동교동 185-10 지하, 121-818"		37.5564651677	126.9320139463		18
"<!--:en-->Yes24 Muv Hall<!--:--><!--:ko-->예스24 무브홀<!--:-->"	"<!--:en-->Yes24 Muv Hall is a new venue opened in Hongdae. Muv Hall has regular performances and showcases from a wide variety of artists from genres ranging from indie rock to hip hop. Yes 24 Muv Hall can hold 1,000 people standing and 327 people sitting.

<!--:--><!--:ko-->라이브 문화의 중심지 홍대에 새로 오픈하는 &lt; 예스24 무브홀&gt;은 인디락, 힙합, 대중가요 등 다양한 장르의 아티스트들의 공연과 쇼케이스, 방송 촬영이 가능한 전문 LIVE HALL입니다.

&lt; 예스24 무브홀&gt;은 스탠딩 기준 1,000석, 좌석 기준 327석 규모로

기존 소극장 위주의 홍대 라이브씬에 없었던 중극장 규모의 공연장으로그동안 마땅한 공연장을 찾지 못 했던 많은 기획사들과 아티스트들의 needs를 충족시킬 수 있을 것입니다. 또한, 대형 LED스크린을 통한 첨단입체영상 연출이 가능하며

어떠한 장르의 공연도 소화할 수 있는 뛰어난 음향 및 조명시스템을 갖추고 있습니다.심플하면서도 엔틱한 인테리어는 타 공연장들의 딱딱하고 삭막한 인테리어와는 차별화된 분위기를 느끼실 수 있습니다.

더불어, 홍대입구역과 합정역에 인접해있고 1층에는 관객들의 휴식공간이 될 Kitchen &amp; Lounge ‘THE M’이 위치해있어 공연을 즐기러 온 관객들에게 좋은 접근성과 편리함을 제공합니다.
전문 LIVE HALL&lt; 예스24 무브홀&gt;은 아티스트와 공연기획자에게는 뛰어난 퀄리티의 공연으로 관객과 호흡할 수 있는 공간으로, 관객에게는 좋은 공연을 편리하게 즐길 수 있는 공간으로써 홍대 라이브씬의 새로운 문화의 발상지가 될 것 입니다.<!--:-->"		"%ec%98%88%ec%8a%a424-%eb%ac%b4%eb%b8%8c%ed%99%80"		"2013/12/MuvHall.jpg"	"http://doindie.staging.wpengine.com/wp-content/uploads/muvhallmap.jpg"		"지하철 합정역 3번출구에서 직진 -> 서교동 사거리에서 보보호텔 쪽으로 우회전 -> 200M 직진 -> 횡단보도 건너시면 "" YES24 MUV HALL"" 을 발견하실 수 있습니다.</p><br />
<p>Go out of exit 3 @ Hapjeong station (Line 2 / 6) and walk straight in the direction of Sokydong intersection. At BoBo Hotel (보보호텔) turn right and walk straight for about 200m. Cross the road at the crosswalk and you will see Yes24 Muv Hall."		"https://www.facebook.com/yes24muvhall"	"010-3692-6082"	"https://twitter.com/Yes24Now"		"서울특별시 마포구 서교동 368-22 서문빌딩 지하1층"		37.5515437	126.9197803		
"<!--:en-->AX Korea<!--:--><!--:ko-->AX Korea<!--:-->"	"<!--:en-->AX Korea is one of the largest venues in Seoul. It regularly hosts the biggest acts from Korea and abroad.<!--:--><!--:ko-->악스코리아(AX-KOREA)는 서울 광진구에 위치한 대중음악 전문 공연장이다. 스탠딩 기준으로 2,500명, 좌석을 기준으로 1,090명을 수용할 수 있다.<!--:-->"	"<!--:ko-->AX Korea<!--:--><!--:en-->AX Korea<!--:-->"	"ax-korea"	"seoul-%ec%84%9c%ec%9a%b8:Seoul 서울"	"2013/05/ACKOREALOGO.jpg"			"<strong>지하철</strong>

지하철 5호선 광나루역 2번 출구로 나오시면 바로 횡단보도가 있습니다. 횡단보도를 건너신 후 왼쪽으로 길을 따라 오시면 청소년수련관 건물의 뒷 편으로 유니클로 악스가 있습니다. 도보로 5분 거리입니다.
강변역 2번 출구로 나오셔서 테크노마트 앞에서 마을버스 (광진01번)을 타고 광나루 현대 아파트에서 하차하시면 됩니다.

<strong>버스</strong>

마을버스: 광진01
직행버스: 1113-1, 1113-11, 11, 100, 1660, 9301
일반버스: 13, 13-2, 2000-2, 2000-3, 93, 95, 96, 15, 2000-1, 1
간선버스 - 130, 370
공항버스: 6705

Come out of exit 2 at Gwangnaru station (line 5) and you will see a crosswalk immediately in front of you. Cross over and follow the road to the left. AxKorea is behind the youth center (청소년수련관) building. It's about a 5 minute walk from the station.

Come out of exit 2 at Gangbyeon station (Line 2) and take the village bus (#01 - going to Gwangjin) from outside Technomart. Get off at Gwangnaru Hyundai Apartment.

&nbsp;"	"axkorea_m@naver.com"	"https://www.facebook.com/AXKorea/"	"02-457-5114"	"https://twitter.com/axkorea"	"http://ax-korea.co.kr"	"서울특별시 광진구 광장동 319-33, Seoul, Korea 143-807"	"AX Korea"	37.5456881	127.1079671	"AX Korea"	18
"<!--:en-->C Cloud<!--:--><!--:ko-->씨클라우드<!--:-->"	"<!--:en--><strong>c cloud - creation system</strong> creation system. eco system for creators. openartfair &amp; café. art, concerts, drinks &amp; good people etc. cloud system for creativity, creator, communication, culture, cultural capital, commerce, cooperation, coexistence, civil initiatives <strong># c cloud regular program</strong>
<ul>
	<li><span style=""font-size: 13px; line-height: 19px;"">concert: sunday</span></li>
	<li><span style=""font-size: 13px; line-height: 19px;"">open mic: tuesday</span></li>
	<li><span style=""font-size: 13px; line-height: 19px;"">flea market: first saturday</span></li>
	<li><span style=""font-size: 13px; line-height: 19px;"">poetry reading: 3rd thursday</span></li>
</ul>
<!--:--><!--:ko--><strong>c cloud는</strong>
<ul>
	<li><span style=""font-size: 13px; line-height: 19px;"">독립창작자들을 위해 열린 공간입니다. 자신의 작품 또는 음악을 소개하고 판매하고자 하는 창작자들께서는 먼저 담당자와 상의해주시기 바랍니다.</span></li>
	<li><span style=""font-size: 13px; line-height: 19px;"">좋은 작가의 좋은 작품을 좋은 가격에 판매합니다. 작품구입문의를 받습니다.</span></li>
	<li><span style=""font-size: 13px; line-height: 19px;"">학술행사, 세미나, 파티 등을 원하시는 개인이나 단체를 위해 공간을 대여합니다. 사운드시스템과 프로젝터 등의 장비와 케이터링이 가능합니다.</span></li>
	<li><span style=""font-size: 13px; line-height: 19px;"">환경을 위해 테이크아웃용 일회용 컵을 사용하지 않습니다. 대신 자신의 컵이나 텀블러를 가지고 오시는 분들에게는 커피나 차 등 음료가격을 ""500원"" 할인해 드립니다.</span></li>
</ul>
<strong>씨클라우드 정기프로그램</strong>
<ul>
	<li><span style=""font-size: 13px; line-height: 19px;"">공연: 매주 일요일</span></li>
	<li><span style=""font-size: 13px; line-height: 19px;"">오픈마이크: 매주 화요일</span></li>
	<li><span style=""font-size: 13px; line-height: 19px;"">벼룩시장: 매월 첫 토요일</span></li>
	<li><span style=""font-size: 13px; line-height: 19px;"">시낭독회: 매월 세번째 목요일</span></li>
</ul>
<!--:-->"	"<!--:ko-->씨클라우드<!--:--><!--:en-->C Cloud<!--:-->"	"c-cloud"	"seoul-%ec%84%9c%ec%9a%b8:Seoul 서울"	"2013/05/CCloudLOGO.jpg"	"http://doindie.wpengine.com/wp-content/uploads/2013/05/CCloudMap.jpg"	"http://cafe.naver.com/ccloudcs"	"<strong>지하철 정보 / Subway:</strong>

지하철 2호선/6호선 합정역 5번 출구앞 자전거가게에서 우측골목으로 250m 정도 거리에 위치한 붉은 벽돌건물 2층

Get off at Hapjeong station (Line 2/6) and go out of exit 5. Turn right at the bike shop and walk down the road for about 250m. C Cloud is on the second floor of brick building.

<strong>버스 정보 / Bus:</strong>

<em id=""__mceDel"">합정역 / Get off at Hapjeong Station</em>

<em id=""__mceDel"">271, 760, 602, 603, 604 7013A, 7013B, 7011, 5712, 5714, 6716, 67 1100, 1000, 1200, 1300, 1400, 1101, 1601 마포16 921 200, 2200</em>

&nbsp;

&nbsp;"	"ccloudcs@gmail.com"	"https://www.facebook.com/candlecloud"	"02-323-6646"	"https://twitter.com/candlecloud"	"http://www.ccloud.co.kr/"	"412-26 Hapjeong-dong, Mapo-gu, Seoul, South Korea"		37.5486247	126.9169729	"씨클라우드 / C Cloud"	11
